battery_count,battery_power_mw,battery_energy_mwh,usable_soc_headroom_mwh,activation_probability,mfrr_capacity_price_multiplier,stacked_total_value_eur,fcr_only_total_value_eur,delta_vs_fcr_only_eur,is_mfrr_worthwhile,stacked_local_savings_eur,stacked_local_savings_pct,stacked_fcr_revenue_eur,stacked_mfrr_capacity_revenue_eur,stacked_expected_mfrr_activation_revenue_eur,stacked_min_soc_mwh,stacked_max_soc_mwh,stacked_constraint_violation_count,stacked_savings_floor_pass,annualized_delta_eur,upfront_enablement_cost_eur,annual_operating_cost_eur,risk_buffer_eur,operating_days,confidence_factor,effective_operating_days,fixed_cost_burden_eur_per_day,target_payback_years,required_daily_delta_for_target_payback_eur,annual_net_incremental_value_eur,payback_years,payback_gap_to_target_eur_per_day
1,1.0,2.0,1.6,0.25,0.75,467.92569992890816,512.4558565153417,-44.53015658643352,false,247.77421063921975,0.12034795626048529,213.61949915810948,5.8125,0.7194901315789473,0.2,1.668421052631579,0,true,-10687.237580744044,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-17687.237580744044,,-94.53015658643352
1,1.0,2.0,1.6,0.25,1.0,469.86319992890816,512.4558565153417,-42.59265658643352,false,247.77421063921975,0.12034795626048529,213.61949915810948,7.75,0.7194901315789473,0.2,1.668421052631579,0,true,-10222.237580744044,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-17222.237580744044,,-92.59265658643352
1,1.0,2.0,1.6,0.25,1.25,471.80069992890816,512.4558565153417,-40.65515658643352,false,247.77421063921975,0.12034795626048529,213.61949915810948,9.6875,0.7194901315789473,0.2,1.668421052631579,0,true,-9757.237580744044,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16757.237580744044,,-90.65515658643352
1,1.0,2.0,1.6,0.25,1.5,473.73819992890816,512.4558565153417,-38.71765658643352,false,247.77421063921975,0.12034795626048529,213.61949915810948,11.625,0.7194901315789473,0.2,1.668421052631579,0,true,-9292.237580744044,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16292.237580744044,,-88.71765658643352
1,1.0,2.0,1.6,0.25,1.75,471.1956243287234,512.4558565153417,-41.26023218661828,false,242.53892670570167,0.11780509386888768,208.2497074914428,19.6875,0.7194901315789473,0.2,1.668421052631579,0,true,-9902.455724788388,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16902.455724788386,,-91.26023218661828
1,1.0,2.0,1.6,0.25,2.0,464.0532103944062,512.4558565153417,-48.40264612093546,false,235.05260399102008,0.11416886539985521,192.59086133759666,36.05,0.35974506578947363,0.2,1.7342105263157894,0,true,-11616.635069024509,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-18616.63506902451,,-98.40264612093546
1,1.0,2.0,1.6,0.3,0.5,451.2985846241988,512.4558565153417,-61.1572718911429,false,232.94069730819456,0.1131430780411337,213.61949915810948,3.875,0.8633881578947367,0.2,1.6421052631578947,0,true,-14677.745253874295,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-21677.745253874295,,-111.1572718911429
1,1.0,2.0,1.6,0.3,0.75,453.2360846241988,512.4558565153417,-59.2197718911429,false,232.94069730819456,0.1131430780411337,213.61949915810948,5.8125,0.8633881578947367,0.2,1.6421052631578947,0,true,-14212.745253874295,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-21212.745253874295,,-109.2197718911429
1,1.0,2.0,1.6,0.3,1.0,455.1735846241988,512.4558565153417,-57.2822718911429,false,232.94069730819456,0.1131430780411337,213.61949915810948,7.75,0.8633881578947367,0.2,1.6421052631578947,0,true,-13747.745253874295,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-20747.745253874295,,-107.2822718911429
1,1.0,2.0,1.6,0.3,1.25,457.1110846241988,512.4558565153417,-55.3447718911429,false,232.94069730819456,0.1131430780411337,213.61949915810948,9.6875,0.8633881578947367,0.2,1.6421052631578947,0,true,-13282.745253874295,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-20282.745253874295,,-105.3447718911429
1,1.0,2.0,1.6,0.3,1.5,459.0485846241988,512.4558565153417,-53.4072718911429,false,232.94069730819456,0.1131430780411337,213.61949915810948,11.625,0.8633881578947367,0.2,1.6421052631578947,0,true,-12817.745253874295,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-19817.745253874295,,-103.4072718911429
1,1.0,2.0,1.6,0.3,1.75,455.4589522373103,512.4558565153417,-56.996904278031366,false,226.65835658797278,0.11009164317121654,208.2497074914428,19.6875,0.8633881578947367,0.2,1.6421052631578947,0,true,-13679.257026727528,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-20679.25702672753,,-106.99690427803137
1,1.0,2.0,1.6,0.3,2.0,446.7473247468991,512.4558565153417,-65.70853176844258,false,217.67476933035505,0.10572816900837767,192.59086133759666,36.05,0.43169407894736833,0.2,1.7210526315789474,0,true,-15770.04762442622,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-22770.04762442622,,-115.70853176844258
1,1.0,2.0,1.6,0.35,0.5,436.60896931948935,512.4558565153417,-75.84688719585233,false,218.10718397716937,0.10593819982178213,213.61949915810948,3.875,1.007286184210526,0.19999999999999998,1.6157894736842107,0,true,-18203.25292700456,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-25203.25292700456,,-125.84688719585233
1,1.0,2.0,1.6,0.35,0.75,438.54646931948935,512.4558565153417,-73.90938719585233,false,218.10718397716937,0.10593819982178213,213.61949915810948,5.8125,1.007286184210526,0.19999999999999998,1.6157894736842107,0,true,-17738.25292700456,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-24738.25292700456,,-123.90938719585233
1,1.0,2.0,1.6,0.35,1.0,440.48396931948935,512.4558565153417,-71.97188719585233,false,218.10718397716937,0.10593819982178213,213.61949915810948,7.75,1.007286184210526,0.19999999999999998,1.6157894736842107,0,true,-17273.25292700456,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-24273.25292700456,,-121.97188719585233
1,1.0,2.0,1.6,0.35,1.25,442.42146931948935,512.4558565153417,-70.03438719585233,false,218.10718397716937,0.10593819982178213,213.61949915810948,9.6875,1.007286184210526,0.19999999999999998,1.6157894736842107,0,true,-16808.25292700456,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-23808.25292700456,,-120.03438719585233
1,1.0,2.0,1.6,0.35,1.5,444.35896931948935,512.4558565153417,-68.09688719585233,false,218.10718397716937,0.10593819982178213,213.61949915810948,11.625,1.007286184210526,0.19999999999999998,1.6157894736842107,0,true,-16343.25292700456,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-23343.25292700456,,-118.09688719585233
1,1.0,2.0,1.6,0.35,1.75,439.7222801458977,512.4558565153417,-72.733576369444,false,210.77778647024434,0.10237819247354561,208.2497074914428,19.6875,1.007286184210526,0.19999999999999998,1.6157894736842107,0,true,-17456.058328666557,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-24456.058328666557,,-122.733576369444
1,1.0,2.0,1.6,0.35,2.0,429.22155145858494,512.4558565153417,-83.23430505675674,false,200.07704702888304,0.0971806696202937,192.59086133759666,36.05,0.503643092105263,0.19999999999999998,1.6977481304660627,0,true,-19976.233213621617,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-26976.233213621617,,-133.23430505675674
1,1.0,2.0,1.6,0.4,0.5,444.4464941821445,512.4558565153417,-68.0093623331972,false,221.5396706461447,0.10760541431693409,218.31813932547345,3.4375,1.1511842105263157,0.2,1.5894736842105264,0,true,-16322.246959967328,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-23322.246959967328,,-118.0093623331972
