_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
1232663,2026-06-24T19:00:00,2026-06-24T17:00:00,SE1,113.79,EUR-MWh
1232886,2026-06-24T19:00:00,2026-06-24T17:00:00,SE4,190.08,EUR-MWh
1232887,2026-06-24T19:00:00,2026-06-24T17:00:00,SE3,155.05,EUR-MWh
1233388,2026-06-24T19:00:00,2026-06-24T17:00:00,SE2,115.42,EUR-MWh
1233499,2026-06-24T18:45:00,2026-06-24T16:45:00,SE4,210.24,EUR-MWh
1233048,2026-06-24T18:45:00,2026-06-24T16:45:00,SE3,183.94,EUR-MWh
1233380,2026-06-24T18:45:00,2026-06-24T16:45:00,SE1,149.95,EUR-MWh
1233926,2026-06-24T18:45:00,2026-06-24T16:45:00,SE2,152.52,EUR-MWh
1232523,2026-06-24T18:30:00,2026-06-24T16:30:00,SE3,150.2,EUR-MWh
1232847,2026-06-24T18:30:00,2026-06-24T16:30:00,SE4,152.62,EUR-MWh
1232547,2026-06-24T18:30:00,2026-06-24T16:30:00,SE1,142.56,EUR-MWh
1233485,2026-06-24T18:30:00,2026-06-24T16:30:00,SE2,144.9,EUR-MWh
1232917,2026-06-24T18:15:00,2026-06-24T16:15:00,SE1,105.88,EUR-MWh
1233040,2026-06-24T18:15:00,2026-06-24T16:15:00,SE2,107.31,EUR-MWh
1232590,2026-06-24T18:15:00,2026-06-24T16:15:00,SE4,134.15,EUR-MWh
1233231,2026-06-24T18:15:00,2026-06-24T16:15:00,SE3,122.06,EUR-MWh
1232467,2026-06-24T18:00:00,2026-06-24T16:00:00,SE1,110.25,EUR-MWh
1232425,2026-06-24T18:00:00,2026-06-24T16:00:00,SE3,115.28,EUR-MWh
1233835,2026-06-24T18:00:00,2026-06-24T16:00:00,SE2,111.79,EUR-MWh
1233257,2026-06-24T18:00:00,2026-06-24T16:00:00,SE4,116.87,EUR-MWh
1232999,2026-06-24T17:45:00,2026-06-24T15:45:00,SE1,114.55,EUR-MWh
